Spool ID,Inventory Status,Material Type,Filler / Reinforcement,Finish / Effect,Color,Manufacturer,Product / Grade / Hardness,Preferred Brand,Diameter (mm),Tolerance (mm),Density (g/cm³),Nominal Weight (g),Empty Spool / Tare (g),Current Gross Weight (g),Remaining Filament (g),Remaining %,Used Filament (g),Est. Remaining Length (m),Full Spool Weight (g),Flow (%),Nozzle Temp (°C),Bed Temp (°C),Chamber Temp (°C),Retraction Distance (mm),Retraction Speed (mm/s),Pressure Advance,Purchase Source,Purchase Date,First Used,Last Used,Spool Cost,Cost / Gram,Notes
AS1,Needs Weighing,ASA,None,Standard,Black,3D Best-Q,,No,1.75,0.05,1.07,1000,,,,,,,,100,250,100,40,0.75,70,,Amazon,2021-03-16T00:02:00,2022-03-15T21:09:00,2022-03-30T21:43:00,27,0.027,
AS3,Needs Weighing,ASA,None,Standard,Black,3D Best-Q,,No,1.75,0.05,1.07,1000,,,,,,,,100,250,100,40,0.75,70,,Amazon,2021-03-16T00:01:00,,,27,0.027,
AS2,Needs Weighing,ASA,None,Standard,Light Gray,Polymaker,,Yes,1.75,0.02,1.07,1000,,,,,,,,100,250,100,40,0.75,70,,Amazon,2021-03-16T00:03:00,2022-03-27T22:35:00,2022-03-28T03:03:00,30,0.03,
AS4,Needs Weighing,ASA,None,Standard,Military Green,,,No,1.75,0.05,1.07,1000,,,,,,,,100,250,100,40,0.75,70,,Amazon,2021-03-16T00:01:00,,,27,0.027,
AS5,Needs Weighing,ASA,Carbon Fiber,Standard,Marsala,VOXELAB,,No,1.75,0.05,1.07,1000,,,,,,,,100,250,100,40,0.75,70,,Amazon,2021-03-16T00:01:00,,,27,0.027,
N1,Needs Weighing,NYLON,None,Standard,Black,TAULMAN,645 (PA6),Yes,1.75,0.02,1.52,454,,,,,,,,100,270,80,50,0.75,70,,Amazon,2021-03-16,2021-05-23T18:30:00,2021-05-23T21:02:00,26,0.05726872246696035,
C1,Needs Weighing,PCTPE,None,Standard,Natural White,TAULMAN,65A Shore,Yes,1.75,0.02,1.2,454,,,,,,,,100,230,40,40,0.75,70,,Amazon,2021-03-16,,,15,0.03303964757709251,
G6,Needs Weighing,PETG,Carbon Fiber,Standard,Black,ATOMIC,,No,1.75,0.02,1.27,1000,,,,,,,,100,245,70,0,0.75,70,0.54,Amazon,2021-03-16,2021-05-20T03:16:00,2022-03-15T20:30:00,15,0.015,
G1,Needs Weighing,PETG,None,Standard,Black,SUNLU,,No,1.75,0.02,1.27,1000,,,,,,,,100,235,75,0,0.75,70,0.54,Amazon,2021-03-16,2021-06-04T00:17:00,2021-06-05T14:47:00,15,0.015,
G2,Needs Weighing,PETG,None,Standard,Blue,SUNLU,,No,1.75,0.02,1.27,1000,,,,,,,,100,245,75,0,0.75,70,0.54,Amazon,2021-03-16,2021-05-20T03:16:00,2022-03-12T23:09:00,15,0.015,
G5,Needs Weighing,PETG,None,Transparent/Clear,Clear,NOVAMAKER,,No,1.75,0.02,1.27,1000,,,,,,,,100,240,75,0,0.75,70,0.54,Amazon,2021-05-21,2021-05-23T23:27:00,2021-05-24T03:59:00,19,0.019,
G3,Needs Weighing,PETG,None,Opaque,Green,3D SOLUTECH,,No,1.75,0.05,1.27,1000,,,,,,,,100,225,70,0,0.75,70,0.54,Amazon,2021-03-16,,,23,0.023,
G4,Needs Weighing,PETG,None,Standard,Military Green,PARAMOUNT,,No,1.75,0.02,1.27,1000,,,,,,,,100,240,80,0,0.75,70,0.54,Amazon,2021-03-16,,,29,0.029,
P12,Needs Weighing,PLA,Carbon Fiber,Standard,Black,SUNLU,,No,1.75,0.05,1.24,1000,,,,,,,,100,220,60,0,0.75,70,,Amazon,2021-03-16,2021-05-24T15:30:00,2021-05-25T22:51:00,31,0.031,
P3,In Stock,PLA,None,Standard,Black,SUNLU,,No,1.75,0.02,1.24,1000,116,1116,1000,1,0,335.28361941676434,1116,100,210,60,0,0.75,70,,Amazon,2021-03-16,,,18,0.018,
P2,Needs Weighing,PLA,None,Standard,Black,SUNLU,,No,1.75,0.02,1.24,1000,116,,,,,,1116,100,210,60,0,0.75,70,,Amazon,2021-03-16,2021-05-13T00:02:00,2021-05-13T03:58:00,16,0.016,
