Material Types,Fillers / Reinforcements,Finish / Effects,Colors,Manufacturers,Yes / No,Wishlist Priority,,Dropdown List Maintenance
ABS,None,Standard,Any,3D Best-Q,No,High,,Add new values at the bottom of a list and extend the corresponding validation range on the Inventory sheet when needed. Keep one canonical spelling for each value so filtering and summaries remain consistent.
ASA,Carbon Fiber,Matte,Black,3D SOLUTECH,Yes,Medium,,
HIPS,Glass Fiber,Silk,White,AMOLEN,,Low,,
NYLON,Wood,Gloss,Natural,ATOMIC,,,,
PA6,Metal,Satin,Natural White,ELEGOO,,,,
PA12,Mineral / Stone,Transparent/Clear,Clear,ERYONE,,,,
PC,Ceramic,Translucent,Gray,FIBERLOGY,,,,
PC-ABS,Kevlar / Aramid,Opaque,Light Gray,ISANMATE,,,,
PCTG,Graphene,Marble,Dark Gray,NINJATEK,,,,
PCTPE,Glow Additive,Galaxy / Sparkle,Silver,NOVAMAKER,,,,
PET,Conductive,Glitter,Red,PARAMOUNT,,,,
PETG,Magnetic,Metallic,Orange,Polymaker,,,,
PLA,Flame Retardant,Rainbow,Yellow,SUNLU,,,,
PLA+,Lightweight / Foaming,Color Change,Green,SUPPLY3D,,,,
PP,Recycled,Glow,Military Green,TAULMAN,,,,
PVA,Other,Dual Color,Blue,VOXELAB,,,,
SPLA,,Tri Color,Light Blue,Bambu Lab,,,,
TPU,,Fluorescent,Dark Blue,eSUN,,,,
TPE,,Other,Cyan,Hatchbox,,,,
Other,,,Teal,Overture,,,,
,,,Purple,Prusament,,,,
,,,Pink,,,,,
,,,Brown,,,,,
,,,Beige,,,,,
,,,Marsala,,,,,
,,,Copper,,,,,
,,,Gold,,,,,
,,,Bronze,,,,,
,,,Multi-Color,,,,,
,,,Other,,,,,
